	0	1	2	3	4	5
10dollarbill-woman	31.853356315056374	32.743504482443996	17.822088092774603	13.424164845167313	11.795071529582975	
17century-selfies	26.52449210075265	14.91937323413616	14.834672653522782	10.15860817419322	9.045659550698442	
20dollarbill-female	28.967659265273337	28.063435892011015	25.892277895112294	18.250766084798386	13.126570731483525	
3D-limbs	22.74901853622723	39.26875332309315	17.784322783979373	15.633335844691464	13.78269173213954	
3d-indoormap	24.17444536962408	19.016974307817677	17.502519109491796	13.739640346135682	14.578940791617097	
401k-literacy	30.36211797900205	27.19609402564648	22.797078327676548	17.350725624939496	10.766105860342178	
ADHD-game	12.741279980072155	18.435770289733078	12.331190483423121	10.291710645224882	14.28411368603863	
AsianAmericans-south	29.054159063292254	22.570747478236207	20.981297759962015	19.57532013947116	15.484852101401604	
Australia-troubledkids	21.391772142025737	24.45502137024698	19.01713061599046	15.7992350479423	13.678813340570594	
Braille-startup	24.592623624960677	25.183890283748415	18.520796349963245	16.61273645197145	12.128443730741338	
Civilrights-comicbook	22.549753319447913	28.80132374697266	23.19390034710531	19.653345574074724	11.128343734819662	
D-day-fallen	29.11456318689933	25.853618902865456	24.015247637846752	23.446836469432014	12.399425478533942	
Detroit-bankruptcy	23.642348314444803	22.490454346988027	22.160113378375343	20.707368324825723	14.348430396280023	
Drone-sightings	28.67259950486508	20.520479187841225	19.548264088926672	18.824548990118956	12.362848907167603	
Fastfood-calories	17.537425053224727	11.96401995610117	13.626538208540063	12.37385909542174	11.01328675161242	
Fastfood-millennials	31.932951001856463	21.927744065132373	19.316449571270798	9.013916938946913	10.54783637543302	
Free-fashions	29.479206279143202	17.062580658113106	16.212625263705164	14.969576949255016	10.305026398786483	
Hospital-bootcamp	29.175817446608477	29.464925742522546	22.539725675606004	22.473498267055305	14.220463598082627	
Hurricane-drones	28.74028300141693	29.7011964826672	25.065531033211375	18.922305502481976	15.840410703110887	
Iditarod-finish	34.65624835654446	26.49790794485305	24.192042038639027	20.16134223389029	14.951916977903615	11.429285476391854
Indonesian-caveart	45.774478319898975	34.48732937168823	22.194552928751094	16.666837285840533	12.099567912350318	
King-nobelprize	16.368455583177717	23.302036817364915	11.449800369411621	8.246438594497757	8.288003691115772	
LA-fossils	19.576231352186692	14.874723492845003	16.754524294078255	13.061928801917446	11.774658371313485	
Last-navajocodetalker	18.133699183160914	18.016609673519863	17.332144182194472	15.686131298682087	15.105957857977437	
NFL-Players	45.83808645302722	31.092373371497974	24.230042450325694	19.511644143931974	16.73520174099028	
New-civilrights	20.822888399174804	15.410270129631071	22.0894111452745	19.03094073301549	18.150686857247447	
Nigeria-ebolafree	18.47819478622494	19.614001418518907	19.051346842464387	17.69660304957408	14.835944766902797	
Nobel-peacewinner	37.225738530723575	25.99225176111082	20.3440068117127	18.85492970442643	11.60205412446736	
Obama-Islamic-State	21.17026274586019	24.643200557903274	14.85324314110592	11.003485196753754	13.259778855866223	
Obama-girlsschooling	22.755607290875012	19.93516591806595	16.200131880090268	13.343888287055952	11.751405698551117	
SAT-changes	27.91270614565007	29.049146729502336	21.076184359084035	18.369105240076887	13.718078337788544	
TRIBAL-SUICIDE	15.221562442957417	15.129727749227609	12.828547871934015	9.720386447903556	8.442528812129458	
Teddyroosevelt-library	37.06868676693169	23.859539924183004	25.208236902578587	17.102596728497954	15.60694706903144	
US-Constitution	33.54332766583337					
USCHINA-TOURISM	32.203442604093546	14.383049536365661	12.748519043904276	12.212066808794109	13.278526004728981	
Ukraine-invasion	26.985115588853755	20.295848434495998	15.060512575546369	12.830882431406241	7.528604638730347	
Wisconsin-earthquakes	21.073172653152543	20.020776570333993	16.197154262130436	12.545457607943762	9.042257445526289	
abercrombie-headscarves	14.976225309763521	12.707432282471501	9.820880900861626	6.590424515829474	5.727159786459643	
accordion-lessons	10.506097948555476	7.378773472750424	8.967125740692534	5.349637690870313	4.399255575926225	
adidas-mascots	17.10322901187308	16.342990831367086	13.396462642870743	7.004531035179894	8.857091325617425	
affirmativeaction-research	22.07113449795719	17.43227389841346	12.295930633059207	15.218422641851463	16.557170831003656	
affluenza-trial	29.38955078241838	30.024598712488174	18.192555008620328	15.013223207318312	9.095677923235463	
afghan-childlaborers	19.838498746979408	18.963692446241396	15.284370581341078	11.57671801349719	14.994359693451214	
afghan-grooms	10.824878427785862	11.867065706163949	14.956801642473925	13.91116907783787	9.339224927153092	
afghan-hotdog	14.836156023028117	11.661840263944711	16.356173335022937	9.45399106193429	9.231273914921163	
afghan-painter	33.985425020764936	30.45193754185667	24.71744631112579	16.141206344890353	14.333564514315523	
afghan-park	17.389381967601228	20.640813126425513	18.886750458727743	13.922277368478415	13.214492019803386	
afghan-scouts	10.783636140752582	12.728635399916119	5.3221669716793345	9.717377915568486	7.491654923865694	7.956800146839261
afghan-taxidriver	25.88823585782752	25.727584560841553	14.242210776527552	7.56299727353462	7.998239359460372	
afghan-women	31.11030478121085	30.198725477117435	21.170016395656507	16.671378514348085	12.991314760480208	
afghanboy-surgery	12.927341802368897	14.204425973501687	8.809943274882283	14.579180515517745	13.155572082141617	
afghanistan-streetart	22.453382598433134	22.259934301640172	17.49820314300671	20.334195203312078	10.443312934346112	
afghanistan-toygun	22.552492171443124	23.45720342174293	17.65538711655089	10.151194985548905	9.623113657654272	
afghanistan-ustroops	20.0154573431279	21.911526600367637	13.528968505150065	12.09939623185013	9.506544484966831	
africa-economy	14.291198391543755	9.624777041712594	19.017022511472167	9.871065993928452	10.422127348558945	
africa-entrepreneurs	30.079095984195774	38.249880085265204	31.202121134732334	24.737809570455877	19.698663179293327	
africa-lionhunting	18.476121703414304	14.970333892275244	10.295937274395868	11.039929660026653	8.053061204160283	
africa-lions	10.945501639648437	15.161992920283566	9.618035951083279	7.3993485068479865	5.502613654715315	
africa-outlook	20.173688620576268	13.808872674393625	13.895635609760165	7.537901965152397	5.6486867797594895	
africanamericans-russia	15.846739454178485	15.555216939528066	12.055109373579526	11.935768185860788	11.353950976226843	
africanimmigrants-educated	31.288410261506012	23.373493164273622	16.86694543084484	15.918612525595915	10.307330252113571	
afro-beauty	12.348787689319789	18.38212347417207	7.155705479073116	4.759853684858424	4.416151652133966	
afterschool-program	25.684911938470297	19.51300391736645	22.020120262832574	14.701439557804871	10.386511386902958	
ag-education	28.373616724732905	22.388047707520972	19.730893686013598	15.788018077817062	13.925161827408498	
age-population	24.247144239557777	23.66638044885577	22.56143221166888	20.587148784610637	14.060488373871731	
agricultural-extensions	25.25388644118867	25.906086081741364	24.450839145192095	21.21336266807364	17.404159662446084	
agriscience-careers	17.679486459245837	17.700241217714694	14.796122476076267	11.598893605973648	9.815779576045308	
agtech-food	33.500856652673875	18.936662235335028	15.591242967777918	14.792401986880128	15.724229188312059	
ahmed-clockteacher	32.04727399831776	31.535014832827144	17.079611821323347	16.803763084625675	11.985801799904719	
airasia-crash	17.114069162573976	15.957128033053944	14.5263958938812	14.949870311754617	12.30820069012123	
airforce-topguns	20.30544676017302	22.73338419794746	16.724750663197952	15.579168701685632	13.510037976448679	
airport-ecosystem	20.061431818642294	21.573416829950702	20.854018593380584	15.254374544119509	16.830060150037095	10.595200785451077
