article	simple	complex	simple_size	complex_size
April	11.895225357157072	26.50452940600857	99	535
August	14.618685517010487	21.92454590252179	179	271
Art	15.73448315917135	20.073184816657136	864	5916
A	13.295385048671921	16.510896654245624	126	821
Wikipedia:Administrators	11.173863707355302	14.476726391585782	730	2845
Autonomous communities of Spain	9.87890073065659	16.192783121632473	154	1827
Alan Turing	12.105797845622481	10.723333246342941	333	5029
Alanis Morissette	8.63182341660071	13.545508170675856	228	4264
Adobe Illustrator	13.124603728731207	18.377627200772984	79	1340
Andouille	9.882824824100494	8.114022333192956	156	512
Arithmetic	11.163979102363466	7.721390017602581	143	2515
Addition	22.557692071903254	6.420669484466572	318	4972
Australia	12.176596827425161	11.633616746619365	4138	7872
American English	11.783123050161498	14.316079893514882	344	4516
Aquaculture	14.12863859998346	6.289423893257784	70	3432
Abbreviation	11.818413168419335	8.9020722350762	247	2662
Angel	10.591430422217957	13.084960616825704	145	3874
Ad hominem	13.398033287268394	14.79919441366924	241	912
Apple	6.011528426028825	9.754549309043364	1295	4135
Algebra	11.11578648753222	9.304705413811842	1192	2848
Atom	8.920452312018881	10.924605199000418	2126	15799
Astronomy	8.305121695762402	10.474783694111345	2612	6359
Architecture	9.132216760378082	3.340654907065476	764	2754
Anatomy	10.288687934872426	3.927285117084782	223	618
Asteroid	8.895119922685893	7.505115147723905	260	5235
Afghanistan	10.638534854114543	14.23629916443721	2910	12716
Angola	12.802189763837259	19.095635854262017	22	5588
Argentina	12.456563108812013	14.000187621550422	629	12586
Austria	7.5211726214644266	13.192648529291162	574	10366
Armenia	11.20028506645572	11.800646384590191	261	9562
Archaeology	12.94767153828885	4.469490274200522	455	6419
Animal	7.833670958375002	8.395565568128902	392	2912
Acceleration	9.474160758742519	4.147993753441841	336	900
Black pudding	11.239409754157741	12.716774167496036	203	3160
Boot	10.153098634175333	13.65923223769793	286	559
Bankrupt	20.278478535465307	9.252882529899585	209	89
Breakfast sausage	13.798511779535342	10.809770238155243	222	325
Beekeeping	9.380267578504272	11.257658849082885	121	7168
British English	16.240768857370483	16.139401161794485	237	2518
Being	13.751785237331372	17.07047010862264	58	4763
Beijing	8.273088700155858	6.358456486149154	490	8804
Bottle	14.305660068218314	15.157840461415057	39	974
Berry	9.813636184587619	11.206860682885175	259	733
Boil	14.702669100305757	9.929556616933311	122	1189
Beard	16.88237657020747	9.408862095881751	114	4199
Black	10.593971711063489	12.843866393264957	142	682
Bubonic plague	9.119940362134741	10.106356984436118	552	1478
Biology	15.381141580851452	7.918615664396771	248	3710
Botany	4.578823513818394	12.119772822068008	49	2679
Belgium	10.842784522517258	13.04372097731476	457	6395
Brazil	15.416069634313816	13.853719059551915	338	8557
Chemistry	7.172504724193938	7.415602754768283	1125	5553
Computer science	6.1569045124962924	4.339341138134996	508	2897
Computer	11.900138866545582	5.989175245471428	3043	6745
Chinese	15.114956352224635	13.201375173823584	266	22
Continent	6.918651136956954	6.22394249088846	243	4298
Classical element	13.33584485090839	18.182112243066673	130	2410
China	11.49650443067082	7.820555829342366	1165	7238
Country	10.024299032276272	17.81374181143002	46	724
Colchester	9.972795562315541	9.446352141750886	141	3853
Wikipedia:Copyrights	13.91769006351397	7.934591285211156	853	3515
Cartography	11.217200774669083	7.712070146516616	95	3575
Contact network	4.962327895076516	9.245924038112182	67	385
Chorizo	11.189137348198747	7.982204425825274	129	2431
Creativity	15.868086425031482	12.76804827081592	390	7334
Catharism	7.310537168665458	9.377801949830129	1288	6311
Cosmology	14.644195326221725	8.601643282384623	314	1445
City	12.062018881973097	13.866439661295907	987	10121
Cooking	12.008906816564773	9.480725322575585	339	2329
Cup	14.99098465797653	14.288098931154202	104	24
Crime	13.229154410411672	12.46006497854994	440	4434
Time Cube	14.383733732094946	16.771066233643012	180	420
Census of Marine Life	11.251554729537911	20.543437940085905	111	2159
Maize	5.99747997925119	6.473451098888629	104	6239
Civics	9.471884492404545	17.181355696982784	57	792
Calculus	10.752498235873803	5.925728060878177	1512	4401
Coin	14.92776213475105	9.36156107681753	322	3775
Conceptual metaphor	21.034996222811365	15.542981131085856	68	1863
Comedy	5.477809001309114	12.029235279399117	557	1478
Comet	7.218857831677413	2.732527240709991	556	7070
Cytology	10.091935504332278	16.63794629815795	99	57
Christian	11.048347240612998	11.885811694155368	378	1279
Cheese	11.44589928598805	12.299791521148729	387	4875
Constitution	7.740249473377005	18.34750543489638	372	7981
Circle	12.028058978507595	7.363708923882567	478	1853
Capitalization	16.95327625854434	13.33978060361942	87	1030
Cuba	8.554136180565111	13.450177515970521	1865	9158
Cube	17.49329855409088	9.510754252778144	151	970
Cost of living	12.269938650306749	7.76873897805771	51	650
December	12.46057286103388	6.540621110535226	95	186
Dublin	10.82340784645878	10.498906999878422	125	7285
Dance	8.370731898373517	9.410632160232709	779	2068
Diarrhea	9.550380906537413	8.038809958841206	186	1712
Dimension	12.114304426108976	15.197788514791515	243	2283
Distance	15.94742109293711	13.8757177336573	85	1816
Dictionary	14.915141419036576	11.099197368558242	625	2510
Definition	18.490834549816068	10.423707955226448	91	2067
Denmark	15.062351595087724	13.407421823017886	1187	12567
Death	14.942217342808048	11.361205885463793	326	3535
Europe	17.20193761009114	12.95582120473431	245	9068
Encyclopedia	15.1205409931917	14.712237189176333	692	5008
Earth science	28.644971999764188	11.45314999554644	138	907
Earth	6.895925437672763	11.445143463100933	1495	8313
Experiment	15.172773406854713	10.883021417512891	218	4106
Ethics	7.390098302638646	3.419571363527538	301	4277
Einstein on the Beach	15.750663723745216	15.104079314611788	76	1840
Ethnic group	15.679212259179785	18.731607322822487	82	3755
Ebola	8.584668976306968	5.448846378084851	430	4757
Ecology	12.165824043086872	7.6441358475205705	469	11283
Economics	10.366160268701377	3.7491298544013167	625	10462
Chemical element	9.371272233217402	11.379333206034765	608	4597
Egypt	15.253590064911098	13.449571098929422	382	10073
Everything2	15.14092669523943	12.514392659376226	142	2761
Ecological yield	16.895672436257456	16.965719195063226	278	275
February	20.414381891177072	18.17407674849994	231	799
FAQ	19.192376877303587	6.524893521347505	74	1001
Financial capital	3.7937691541854437	11.73004023828855	322	1505
Food	10.318308023601064	12.148227745492855	569	6114
Frying	16.1645203134451	9.84975797720718	55	422
Fish	9.64128977921847	6.56472887013083	904	5789
Foot	12.146615982972689	8.955439799576915	456	2077
France	4.5254658681688475	13.926477859398824	2841	16398
Finland	9.741254858758712	11.560017561439786	1601	12174
Fruit	12.582152132006167	6.491894933559861	427	2939
Farm	12.801975634927103	10.422840024618724	90	1848
Geography	11.363548207635967	11.318858451746584	282	2921
Grammar	10.672860528971919	10.869620122766758	621	2258
Great Lakes	13.679821971420422	12.058067188653338	110	6547
GNU Free Documentation License	12.139256826947271	21.53211036080355	636	1857
Glass	13.173890374622106	5.2703133878002015	223	4433
God	6.13000603087035	5.675398050073839	1157	3313
Ghost	16.730789332752398	5.513404097747879	449	6873
Green	9.603542687874588	14.036549297839855	136	3362
Google	15.223057612988878	4.758700629576385	553	7455
Gallon	12.794796364047908	4.289867515807908	31	829
Government	15.028266217731275	19.57621091947294	549	340
Galaxy	11.912505496866851	7.855762788346267	667	6204
Geometry	9.084784970602477	4.511627004205093	186	3098
Graph theory	4.14402120156202	5.931665184134502	965	2304
Goatee	24.06141138618864	21.67277050774327	22	42
Herm	13.973644329832691	22.147293926064343	59	1839
History	19.31949515092021	11.000085559237242	266	4609
Health	15.818975817770989	10.69580749085555	398	2162
Harbor	26.94855230954471	17.287280625605	127	605
Hawaii	6.988588355556407	7.0729586617298645	500	7654
Hawaii (island)	5.705300539643342	4.937327494707393	240	1712
Healing	10.997536176548117	14.524416974609021	29	677
History of Australia	7.888267228713764	12.753202242710133	2409	22224
History of Spain	14.546700555585875	14.026647230557957	1130	10422
Height	10.0	10.372303439783936	88	585
Historian	24.223408426381805	20.155614907304212	23	2158
Human body	10.17935890306035	15.933288245030601	221	941
Hydrogen	6.801416985593565	6.729367236125477	708	5588
Helium	9.683583511959991	10.074215399469193	283	7533
Hair	4.790991237978332	3.768600952491043	995	6207
Ireland	10.869284847807966	14.204590879133102	458	13545
Internet	11.632448688508815	13.236476351718965	539	7963
Italy	6.252231533746638	14.379766480934435	1490	12722
If	14.239716847491655	12.766625996983727	66	17
Island	13.164803513011728	5.986247249124407	84	1056
Interim	-1.0	18.83960667153478	26	532
Idiom	8.856106217688051	8.864956642725506	512	1100
IELTS	9.1046061007654	15.06549643307286	107	1824
Ink	9.485286965280752	9.070731921262317	186	2228
Inch	15.3509128431977	12.607461748485065	106	1257
Pint	6.934519988537549	5.381188686452604	139	1425
ISO 19011	16.455964718506042	10.0	40	10
India	4.670423586563348	13.620647395763777	2535	7618
Insult	12.956126393627812	23.57465556109002	159	551
Immunology	17.271475433638425	6.117326863102031	677	1968
