article	simple	complex
April	100	539
August	183	275
Art	884	5962
A	127	835
Wikipedia:Administrators	746	2888
Autonomous communities of Spain	156	1845
Alan Turing	338	5090
Alanis Morissette	233	4309
Adobe Illustrator	80	1353
Andouille	157	516
Arithmetic	146	2548
Addition	326	5036
Australia	4187	7939
American English	350	4551
Aquaculture	70	3480
Abbreviation	249	2699
Angel	148	3913
Ad hominem	247	925
Apple	1313	4185
Algebra	1209	2881
Atom	2148	15946
Astronomy	2659	6444
Architecture	770	2792
Anatomy	226	626
Asteroid	263	5297
Afghanistan	2945	12825
Angola	22	5645
Argentina	640	12710
Austria	584	10472
Armenia	267	9671
Archaeology	460	6480
Animal	396	2949
Acceleration	342	915
Black pudding	206	3196
Boot	289	567
Bankrupt	212	90
Breakfast sausage	225	328
Beekeeping	124	7241
British English	239	2536
Being	60	4801
Beijing	497	8892
Bottle	40	985
Berry	263	745
Boil	124	1195
Beard	116	4252
Black	144	693
Bubonic plague	560	1495
Biology	249	3752
Botany	49	2711
Belgium	462	6455
Brazil	342	8653
Chemistry	1136	5609
Computer science	514	2929
Computer	3074	6822
Chinese	272	23
Continent	247	4344
Classical element	133	2438
China	1175	7315
Country	46	730
Colchester	143	3912
Wikipedia:Copyrights	867	3556
Cartography	96	3612
Contact network	68	391
Chorizo	131	2455
Creativity	393	7432
Catharism	1302	6361
Cosmology	318	1457
City	998	10224
Cooking	346	2354
Cup	107	24
Crime	445	4489
Time Cube	182	427
Census of Marine Life	114	2187
Maize	104	6305
Civics	56	799
Calculus	1528	4451
Coin	327	3812
Conceptual metaphor	69	1881
Comedy	565	1488
Comet	565	7134
Cytology	100	57
Christian	381	1295
Cheese	393	4934
Constitution	377	8063
Circle	490	1891
Capitalization	88	1043
Cuba	1883	9251
Cube	153	993
Cost of living	52	657
December	98	192
Dublin	128	7337
Dance	788	2099
Diarrhea	189	1740
Dimension	251	2309
Distance	87	1844
Dictionary	633	2529
Definition	92	2094
Denmark	1210	12703
Death	330	3573
Europe	249	9159
Encyclopedia	700	5059
Earth science	140	920
Earth	1515	8393
Experiment	222	4136
Ethics	307	4313
Einstein on the Beach	76	1864
Ethnic group	82	3788
Ebola	437	4797
Ecology	477	11363
Economics	633	10584
Chemical element	618	4642
Egypt	388	10189
Everything2	144	2791
Ecological yield	282	279
February	235	807
FAQ	74	1005
Financial capital	325	1528
Food	580	6179
Frying	55	428
Fish	916	5861
Foot	462	2102
France	2884	16551
Finland	1626	12308
Fruit	434	2977
Farm	93	1872
Geography	286	2947
Grammar	629	2285
Great Lakes	112	6613
GNU Free Documentation License	645	1881
Glass	227	4482
God	1174	3346
Ghost	453	6953
Green	139	3389
Google	560	7509
Gallon	31	836
Government	556	343
Galaxy	676	6270
Geometry	189	3124
Graph theory	976	2326
Goatee	22	43
Herm	59	1865
History	269	4652
Health	404	2193
Harbor	128	613
Hawaii	508	7764
Hawaii (island)	243	1736
Healing	30	690
History of Australia	2432	22415
History of Spain	1148	10517
Height	89	593
Historian	23	2170
Human body	224	954
Hydrogen	721	5648
Helium	286	7599
Hair	1010	6262
Ireland	466	13671
Internet	546	8022
Italy	1520	12836
If	67	17
Island	86	1068
Interim	26	540
Idiom	534	1111
IELTS	108	1862
Ink	189	2254
Inch	109	1268
Pint	141	1447
ISO 19011	40	10
India	2563	7678
Insult	164	555
Immunology	689	1987
Infinity	153	3140
January	135	709
June	82	445
July	81	237
Japan	1174	7151
Jargon	183	206
Jupiter	1831	7159
Knowledge	372	1995
Kauai	239	1915
Killing	121	19
Kilometre	137	593
Language	708	6019
Leisure	183	221
Life	404	4205
Law	1240	9404
Provinces and territories of Canada	121	1788
Las Vegas, Nevada	348	4435
Leap year	301	3255
Leather	98	2847
License	369	828
Library	353	5446
Like	410	1313
Legislature	155	505
Linear algebra	122	1149
London	515	10733
Litre	113	2279
Mathematics	616	4277
March	81	359
May	72	251
Music	3824	8114
Madrid	1306	11601
Montreal	436	8259
Maui	207	3341
Money	937	3376
Multiplication	314	2908
Microsoft	316	4263
Multiverse	81	2480
MediaWiki	507	7358
First language	115	933
Mile	187	2273
Margarine	101	3822
Milky Way	657	5360
Metaphor	636	1719
Metabolism	110	6230
Mass	417	7504
Mercury (planet)	539	7400
Mars	1360	9690
Mac OS	103	3560
Metre	109	1561
Magnifying glass	106	758
Molecule	399	1499
Moral reasoning	121	184
Mosque	3809	6177
Mammal	566	4205
Number	1833	5632
November	90	333
National anthem	20	1921
Name	1223	2140
Niihau	328	2775
Fishing net	29	1237
Internet slang	337	1513
Nauru	70	4658
Noun	769	2270
Wikipedia:Neutral point of view	522	3533
Nature	327	6251
Natural resource	282	530
Negentropy	330	777
North America	71	2893
Neptune	3609	6054
New York City	968	10130
October	84	193
1 (number)	216	1254
O Canada	380	1818
Oahu	303	1485
Open content	344	603
Orthography	1259	1095
Oil	225	825
Oxymoron	234	924
Operating system	470	9507
Philosophy	1182	9663
Physics	1339	4186
Politics	643	4764
Value (personal and cultural)	135	854
Profanity	1659	1228
People's Republic of China	997	10706
Psychoneuroimmunology	497	2632
Political party	535	3508
Pet	217	1411
Platonic realism	296	1501
Paradox	354	1248
Potato	375	9158
Plant	889	5038
Prediction	149	1000
Probability	278	2394
Protein	416	5673
Periodic table	409	2406
Physiology	135	851
Planet	359	8187
Police	419	8770
Proper noun	31	1599
Plastic	192	4291
Product stewardship	585	580
Peace	716	2364
Quebec	989	10059
Religion	1790	5645
Rudyard Kipling	48	7656
Recreation	97	1090
Red	91	3391
Raw	64	13
Roman Empire	884	13151
Regime	263	289
River	984	2911
Right angle	76	629
Ranch	60	2151
Sport utility vehicle	737	3513
Symbol	147	840
September	88	189
Sound	716	1235
Society	376	3162
Suggestion	69	475
Spache Readability Formula	165	112
Sport	118	2549
Science	471	6922
Saint Lawrence River	138	1224
Seville	253	2798
Salami	207	918
Special English	126	519
Sausage	138	5843
Slang	287	1092
Wikipedia:Simple English Wikipedia	816	379
Social contract	134	3973
Social capital	308	8773
Site	173	43
Subtraction	129	1493
String theory	916	8542
Scientist	124	1972
Soapbox	83	929
Supernatural	157	775
Spirit	204	544
Sail	137	3165
Skin	178	1783
Shabbat	270	3731
Statistics	1377	3316
Speed	130	310
Server log	25	242
State	942	29
Stream	21	1869
Solar System	921	7750
Slavery	717	8115
Soul	385	8940
Soap	260	3219
Summary	82	246
Service economy	103	1153
Sense	235	2955
Synagogue	380	2219
Scarcity	181	478
Theatre	1146	1856
This	111	18
Wikipedia:Text of the GNU Free Documentation License	2941	4103
Time horizon	103	440
Time limit	212	41
Taiwan	586	7840
Trademark	637	6612
Ten Commandments	2528	7190
Tree	2910	2993
Tragedy	140	5276
Taxonomy	433	1874
Temple	49	1910
Theft	195	1480
United Kingdom	2458	14902
Universe	3379	9191
Uranus	1047	7740
University	369	3794
VolapÃ¼k	238	2007
Vocabulary	535	1862
Verb	1669	1342
Volume	83	733
Vatican City	328	5612
Velocity	157	876
Virtual community	56	3507
Wikipedia:Wikipedians	67	761
World Wide Web	169	4730
Wiki	439	4427
Website	287	2286
Word	183	1118
Web browser	62	1464
Wikipedia:What Wikipedia is not	45	2105
Wikipedia:Mailing lists	348	257
Wiktionary	166	1240
Microsoft Windows	229	3632
Window	96	2775
Wine	276	4996
Water	504	7548
Web server	184	988
War	891	7666
Year	125	3015
Yard	33	563
Chinese language	1292	7722
Zoology	115	1646
Zinc	1646	7963
Zebra	211	2525
Zoo	174	3606
MediaWiki:Lastmodified	9	8
MediaWiki:Nosuchactiontext	9	11
MediaWiki:Logouttext	54	55
MediaWiki:Loginsuccess	16	24
MediaWiki:Passwordremindertext	49	102
MediaWiki:Searchresulttext	18	19
MediaWiki:Searchdisabled	45	47
MediaWiki:Uploadtext	183	86
MediaWiki:Disambiguationspage	71	219
